from,end_of_year,total_days,rolling_12_months_avg_rate
NOK,2012.02.29,366,0.12882602278934427
NOK,2012.03.31,366,0.12926256291748633
NOK,2012.04.30,366,0.12958541955683062
NOK,2012.05.31,366,0.12996729420874314
NOK,2012.06.30,366,0.13036285570874315
NOK,2012.07.31,366,0.13083877081721312
NOK,2012.08.31,366,0.13155203924672132
NOK,2012.09.30,366,0.13202153132049183
NOK,2012.10.31,366,0.13252889013551913
NOK,2012.11.30,366,0.13316321144699453
NOK,2012.12.31,366,0.13373175277677596
NOK,2013.01.31,366,0.13416770295628414
NOK,2013.02.28,365,0.13436157602328766
NOK,2013.03.31,365,0.13442116567561643
NOK,2013.04.30,365,0.13447170296054795
NOK,2013.05.31,365,0.1344984737706849
NOK,2013.06.30,365,0.1342291852145205
NOK,2013.07.31,365,0.13359985827424653
NOK,2013.08.31,365,0.13271413345945204
NOK,2013.09.30,365,0.13188556295808218
NOK,2013.10.31,365,0.130884170849863
NOK,2013.11.30,365,0.12971034843068494
NOK,2013.12.31,365,0.12827144662986303
NOK,2014.01.31,365,0.12690687157561645
NOK,2014.02.28,365,0.12573990281068495
NOK,2014.03.31,365,0.12463428164465754
NOK,2014.04.30,365,0.12368487328027397
NOK,2014.05.31,365,0.12285226624356164
NOK,2014.06.30,365,0.12224388664356164
NOK,2014.07.31,365,0.12160752874191781
NOK,2014.08.31,365,0.12117975913041094
NOK,2014.09.30,365,0.1209288581331507
NOK,2014.10.31,365,0.12070976422328768
NOK,2014.11.30,365,0.12036003076575343
NOK,2014.12.31,365,0.11972453289753421
NOK,2015.01.31,365,0.119110944699726
NOK,2015.02.28,365,0.11884368673260273
NOK,2015.03.31,365,0.11843636654712329
NOK,2015.04.30,365,0.11811177686219179
NOK,2015.05.31,365,0.11777531055698631
NOK,2015.06.30,365,0.11714389356246578
NOK,2015.07.31,365,0.11653923191232876
NOK,2015.08.31,365,0.11551608462410959
NOK,2015.09.30,365,0.11430919392
NOK,2015.10.31,365,0.11321465749616438
NOK,2015.11.30,365,0.11240524254547947
NOK,2015.12.31,365,0.11193396050164385
NOK,2016.01.31,365,0.11128345915999999
NOK,2016.02.29,366,0.11040080735601092
NOK,2016.03.31,366,0.10957577713360657
NOK,2016.04.30,366,0.10875713427295082
NOK,2016.05.31,366,0.10781806746748634
NOK,2016.06.30,366,0.10723936027076503
NOK,2016.07.31,366,0.10678860793005465
NOK,2016.08.31,366,0.10665789104316938
NOK,2016.09.30,366,0.10674071025628416
NOK,2016.10.31,366,0.10702150425846996
NOK,2016.11.30,366,0.1072024738896175
NOK,2016.12.31,366,0.10762502728360658
NOK,2017.01.31,366,0.10818645568879781
NOK,2017.02.28,365,0.10881980576547945
NOK,2017.03.31,365,0.10916355731698632
NOK,2017.04.30,365,0.10928659390876712
NOK,2017.05.31,365,0.10919539736136986
NOK,2017.06.30,365,0.10904576933671233
NOK,2017.07.31,365,0.10900510838630137
NOK,2017.08.31,365,0.10898547105835618
NOK,2017.09.30,365,0.10888016540356164
NOK,2017.10.31,365,0.10848766000767124
NOK,2017.11.30,365,0.10800850978027399
NOK,2017.12.31,365,0.10722946375369863
NOK,2018.01.31,365,0.1065937104709589
NOK,2018.02.28,365,0.10587211645671234
NOK,2018.03.31,365,0.10539346173808219
NOK,2018.04.30,365,0.10499994422575341
NOK,2018.05.31,365,0.10483177548520548
NOK,2018.06.30,365,0.10484803292904109
NOK,2018.07.31,365,0.10475717128356163
NOK,2018.08.31,365,0.1044784479309589
NOK,2018.09.30,365,0.10420129376931506
NOK,2018.10.31,365,0.10411493155726026
NOK,2018.11.30,365,0.10408854546410957
NOK,2018.12.31,365,0.10411258428246577
NOK,2019.01.31,365,0.10400629549972604
NOK,2019.02.28,365,0.10395028715342465
NOK,2019.03.31,365,0.10381825439095892
NOK,2019.04.30,365,0.10382264983479454
NOK,2019.05.31,365,0.10364116396136987
NOK,2019.06.30,365,0.10340149216958906
NOK,2019.07.31,365,0.10326025057260274
NOK,2019.08.31,365,0.10294689503068494
NOK,2019.09.30,365,0.10268355841698629
NOK,2019.10.31,365,0.10213524003123287
NOK,2019.11.30,365,0.10172597445041097
NOK,2019.12.31,365,0.10154527237589042
NOK,2020.01.31,365,0.1014192633550685
NOK,2020.02.29,366,0.10110642368005467
NOK,2020.03.31,366,0.0999055714202186
NOK,2020.04.30,366,0.09862288575628415
NOK,2020.05.31,366,0.09763397256010929
NOK,2020.06.30,366,0.0968621650273224
NOK,2020.07.31,366,0.09604086948333332
NOK,2020.08.31,366,0.09554214305874316
NOK,2020.09.30,366,0.09490556265710383
NOK,2020.10.31,366,0.09427408384836067
NOK,2020.11.30,366,0.09377745435655736
NOK,2020.12.31,366,0.09332609065519126
NOK,2021.01.31,366,0.09295517041229506
NOK,2021.02.28,365,0.09282513664273974
NOK,2021.03.31,365,0.09365744726849315
NOK,2021.04.30,365,0.09458726786027397
NOK,2021.05.31,365,0.09531362842712329
NOK,2021.06.30,365,0.09575786582164383
NOK,2021.07.31,365,0.09598479749972604
NOK,2021.08.31,365,0.09611706539506851
NOK,2021.09.30,365,0.09653885747178083
NOK,2021.10.31,365,0.09741077141287674
NOK,2021.11.30,365,0.09802095576356165
NOK,2021.12.31,365,0.09837242860821917
NOK,2022.01.31,365,0.09865585801561642
NOK,2022.02.28,365,0.09882401453945204
NOK,2022.03.31,365,0.09919605312383561
NOK,2022.04.30,365,0.09955714881424658
NOK,2022.05.31,365,0.09951432256904108
NOK,2022.06.30,365,0.09939801050602741
NOK,2022.07.31,365,0.09953366607287671
NOK,2022.08.31,365,0.1000181038627397
NOK,2022.09.30,365,0.10006809619150686
NOK,2022.10.31,365,0.09958145160082192
NOK,2022.11.30,365,0.0992924567268493
NOK,2022.12.31,365,0.09904788447753425
MXN,2010.12.31,365,0.05977233772246575
MXN,2011.01.31,365,0.06038003279479452
MXN,2011.02.28,365,0.060703241405205485
MXN,2011.03.31,365,0.06078241712931507
MXN,2011.04.30,365,0.06064701573753425
MXN,2011.05.31,365,0.06043860880164384
MXN,2011.06.30,365,0.059985016724931506
MXN,2011.07.31,365,0.059883981142739726
MXN,2011.08.31,365,0.05956754009013698
MXN,2011.09.30,365,0.05924530360520548
MXN,2011.10.31,365,0.0589342796709589
MXN,2011.11.30,365,0.05848001169013699
MXN,2011.12.31,365,0.057977185727945205
MXN,2012.01.31,365,0.057644891920821915
MXN,2012.02.29,366,0.057524988884153
MXN,2012.03.31,366,0.05752297662841529
MXN,2012.04.30,366,0.05744985342349726
MXN,2012.05.31,366,0.057227912489344265
MXN,2012.06.30,366,0.05709500286639345
MXN,2012.07.31,366,0.05718323405846995
MXN,2012.08.31,366,0.057539029782513657
MXN,2012.09.30,366,0.057880122962841535
MXN,2012.10.31,366,0.05835486010519127
MXN,2012.11.30,366,0.05882756542486339
MXN,2012.12.31,366,0.059171981607923495
MXN,2013.01.31,366,0.05929969980382513
MXN,2013.02.28,365,0.059281979275890406
MXN,2013.03.31,365,0.05946840699945205
MXN,2013.04.30,365,0.05985631184876713
MXN,2013.05.31,365,0.06031707215287672
MXN,2013.06.30,365,0.060436808456986305
MXN,2013.07.31,365,0.06035242970986302
MXN,2013.08.31,365,0.060099641789589035
MXN,2013.09.30,365,0.05987056895671233
MXN,2013.10.31,365,0.05958296643972603
MXN,2013.11.30,365,0.059349704727397264
MXN,2013.12.31,365,0.0590906383728767
MXN,2014.01.31,365,0.05878069885260273
MXN,2014.02.28,365,0.058493212757260264
MXN,2014.03.31,365,0.057909231979999996
MXN,2014.04.30,365,0.05729159882657535
MXN,2014.05.31,365,0.0567414536830137
MXN,2014.06.30,365,0.05657495967479452
MXN,2014.07.31,365,0.056317034697808216
MXN,2014.08.31,365,0.05621683663369863
MXN,2014.09.30,365,0.05632489746383562
MXN,2014.10.31,365,0.05650048226219178
MXN,2014.11.30,365,0.05667728038273973
MXN,2014.12.31,365,0.05665077601123288
MXN,2015.01.31,365,0.05689521626849315
MXN,2015.02.28,365,0.0571964205841096
MXN,2015.03.31,365,0.057690026806575354
MXN,2015.04.30,365,0.058139981970958904
MXN,2015.05.31,365,0.05834156970520549
MXN,2015.06.30,365,0.05841892199287672
MXN,2015.07.31,365,0.05843411455780822
MXN,2015.08.31,365,0.058208039966027386
MXN,2015.09.30,365,0.05773407950027396
MXN,2015.10.31,365,0.05733052966219177
MXN,2015.11.30,365,0.05709090236082192
MXN,2015.12.31,365,0.056916710116438354
MXN,2016.01.31,365,0.056293824254246574
MXN,2016.02.29,366,0.055489089828142074
MXN,2016.03.31,366,0.05467192945546448
MXN,2016.04.30,366,0.053812221898087424
MXN,2016.05.31,366,0.05298267936311475
MXN,2016.06.30,366,0.052166110272950816
MXN,2016.07.31,366,0.05145585198579235
MXN,2016.08.31,366,0.05093720811202186
MXN,2016.09.30,366,0.050419798612021866
MXN,2016.10.31,366,0.04991648940491804
MXN,2016.11.30,366,0.04911407430655738
MXN,2016.12.31,366,0.04847282914262296
MXN,2017.01.31,366,0.04787767109426229
MXN,2017.02.28,365,0.047680099616986306
MXN,2017.03.31,365,0.04746676910821918
MXN,2017.04.30,365,0.04741956036027397
MXN,2017.05.31,365,0.04736298912273972
MXN,2017.06.30,365,0.04747806548986301
MXN,2017.07.31,365,0.04747722118575342
MXN,2017.08.31,365,0.04741360706246575
MXN,2017.09.30,365,0.04746023561041096
MXN,2017.10.31,365,0.04724159994
MXN,2017.11.30,365,0.04714126574547946
MXN,2017.12.31,365,0.046952728051506847
MXN,2018.01.31,365,0.046883493084657536
MXN,2018.02.28,365,0.04666568357780822
MXN,2018.03.31,365,0.04625155514684932
MXN,2018.04.30,365,0.045799028678356175
MXN,2018.05.31,365,0.04538515037068494
MXN,2018.06.30,365,0.04482651053232877
MXN,2018.07.31,365,0.04450807415835618
MXN,2018.08.31,365,0.04437574975808219
MXN,2018.09.30,365,0.044213273949863026
MXN,2018.10.31,365,0.0442322420260274
MXN,2018.11.30,365,0.04411094372465754
MXN,2018.12.31,365,0.04408473851589041
MXN,2019.01.31,365,0.04428076894383561
MXN,2019.02.28,365,0.04447285401452055
MXN,2019.03.31,365,0.044676100588493146
MXN,2019.04.30,365,0.04489096283232876
MXN,2019.05.31,365,0.04518603678246575
MXN,2019.06.30,365,0.04548462715232877
MXN,2019.07.31,365,0.04564208365178082
MXN,2019.08.31,365,0.045616211306575345
MXN,2019.09.30,365,0.04571563829287671
MXN,2019.10.31,365,0.04583153001780822
MXN,2019.11.30,365,0.04611139396849315
MXN,2019.12.31,365,0.04640042203534247
MXN,2020.01.31,365,0.04659174967835616
MXN,2020.02.29,366,0.04680728995054645
MXN,2020.03.31,366,0.04638335482049181
MXN,2020.04.30,366,0.04564994596803279
MXN,2020.05.31,366,0.044986951195628413
MXN,2020.06.30,366,0.04449431049071039
MXN,2020.07.31,366,0.043834986346994544
MXN,2020.08.31,366,0.0431967381885246
MXN,2020.09.30,366,0.04261404766393444
MXN,2020.10.31,366,0.042031286651092896
MXN,2020.11.30,366,0.041577361560928956
MXN,2020.12.31,366,0.04107553534808743
MXN,2021.01.31,366,0.040509964301092896
MXN,2021.02.28,365,0.03987927539424658
MXN,2021.03.31,365,0.03983404061890411
MXN,2021.04.30,365,0.040136115205205485
MXN,2021.05.31,365,0.04032705136493152
MXN,2021.06.30,365,0.04045566335397261
MXN,2021.07.31,365,0.04074404175424658
MXN,2021.08.31,365,0.04109725396219178
MXN,2021.09.30,365,0.04136034728
MXN,2021.10.31,365,0.0415479406630137
MXN,2021.11.30,365,0.04160237710958904
MXN,2021.12.31,365,0.04169482491890411
MXN,2022.01.31,365,0.041854931434246574
MXN,2022.02.28,365,0.04203352249945205
MXN,2022.03.31,365,0.04235298713068493
MXN,2022.04.30,365,0.04270946535260274
MXN,2022.05.31,365,0.043219510518356166
MXN,2022.06.30,365,0.043708434433424655
MXN,2022.07.31,365,0.04417060447315069
MXN,2022.08.31,365,0.04474343133150685
MXN,2022.09.30,365,0.045389348690410954
MXN,2022.10.31,365,0.046129371288493155
MXN,2022.11.30,365,0.0468122662939726
MXN,2022.12.31,365,0.04731925863917808
USD,2010.12.31,365,0.7550145117169864
USD,2011.01.31,365,0.7591083902235618
USD,2011.02.28,365,0.7591789357863014
USD,2011.03.31,365,0.7572699560665753
USD,2011.04.30,365,0.7530169553953425
USD,2011.05.31,365,0.7448717938769863
USD,2011.06.30,365,0.7346786987509589
USD,2011.07.31,365,0.7274651701002739
USD,2011.08.31,365,0.7208626589830137
USD,2011.09.30,365,0.7174627292213698
USD,2011.10.31,365,0.7183083355432878
USD,2011.11.30,365,0.718780105499452
USD,2011.12.31,365,0.7189660788139726
USD,2012.01.31,365,0.7212265824731507
USD,2012.02.29,366,0.723120859163388
USD,2012.03.31,366,0.7267572334956285
USD,2012.04.30,366,0.7322699219300546
