from,to,end_of_month,average_rate,number_of_days
USD,EUR,2021.06.30,0.8301019408,30
USD,EUR,2021.07.31,0.8455311162,31
USD,EUR,2021.08.31,0.8495177693,31
USD,EUR,2021.09.30,0.8490316468,30
USD,EUR,2021.10.31,0.8622060317,31
USD,EUR,2021.11.30,0.8763542113,30
USD,EUR,2021.12.31,0.884621686,31
USD,EUR,2022.01.31,0.8829906481,31
USD,EUR,2022.02.28,0.8817573747,28
USD,EUR,2022.03.31,0.9082651428,31
USD,EUR,2022.04.30,0.923303308,30
USD,EUR,2022.05.31,0.9462062863,31
USD,EUR,2022.06.30,0.9457120976,30
USD,EUR,2022.07.31,0.9800670904,31
USD,EUR,2022.08.31,0.9879323952,31
USD,EUR,2022.09.30,1.008234803,30
USD,EUR,2022.10.31,1.017115469,31
USD,EUR,2022.11.30,0.9799635626,30
USD,EUR,2022.12.31,0.9447701605,31
ZAR,EUR,2010.01.31,0.0940363667,31
ZAR,EUR,2010.02.28,0.0953149067,28
ZAR,EUR,2010.03.31,0.0992986972,31
ZAR,EUR,2010.04.30,0.1014782929,30
ZAR,EUR,2010.05.31,0.1040489396,31
ZAR,EUR,2010.06.30,0.1071343435,30
ZAR,EUR,2010.07.31,0.1037908463,31
ZAR,EUR,2010.08.31,0.1062944831,31
ZAR,EUR,2010.09.30,0.1074506677,30
ZAR,EUR,2010.10.31,0.1042020358,31
ZAR,EUR,2010.11.30,0.1049602979,30
ZAR,EUR,2010.12.31,0.1108109505,31
ZAR,EUR,2011.01.31,0.1086671633,31
ZAR,EUR,2011.02.28,0.1019851406,28
ZAR,EUR,2011.03.31,0.1032234548,31
ZAR,EUR,2011.04.30,0.1030402066,30
ZAR,EUR,2011.05.31,0.1019403582,31
ZAR,EUR,2011.06.30,0.1023912128,30
ZAR,EUR,2011.07.31,0.103084898,31
ZAR,EUR,2011.08.31,0.0985803673,31
ZAR,EUR,2011.09.30,0.096653648,30
ZAR,EUR,2011.10.31,0.0918485948,31
ZAR,EUR,2011.11.30,0.0905936119,30
ZAR,EUR,2011.12.31,0.0927008591,31
ZAR,EUR,2012.01.31,0.0967472324,31
ZAR,EUR,2012.02.29,0.0988029767,29
ZAR,EUR,2012.03.31,0.0997038362,31
ZAR,EUR,2012.04.30,0.0969985179,30
ZAR,EUR,2012.05.31,0.0958463456,31
ZAR,EUR,2012.06.30,0.0950071375,30
ZAR,EUR,2012.07.31,0.0986789824,31
ZAR,EUR,2012.08.31,0.0977571017,31
ZAR,EUR,2012.09.30,0.0939738818,30
ZAR,EUR,2012.10.31,0.08906178,31
ZAR,EUR,2012.11.30,0.0886068533,30
ZAR,EUR,2012.12.31,0.0883615612,31
ZAR,EUR,2013.01.31,0.0858829882,31
ZAR,EUR,2013.02.28,0.0842985956,28
ZAR,EUR,2013.03.31,0.0839922963,31
ZAR,EUR,2013.04.30,0.0843699137,30
ZAR,EUR,2013.05.31,0.0828884612,31
ZAR,EUR,2013.06.30,0.0757217903,30
ZAR,EUR,2013.07.31,0.07703782,31
ZAR,EUR,2013.08.31,0.0746769858,31
ZAR,EUR,2013.09.30,0.0749941669,30
ZAR,EUR,2013.10.31,0.074050484,31
ZAR,EUR,2013.11.30,0.07267979,30
ZAR,EUR,2013.12.31,0.0704935261,31
ZAR,EUR,2014.01.31,0.067737254,31
ZAR,EUR,2014.02.28,0.0667579591,28
ZAR,EUR,2014.03.31,0.0672806051,31
ZAR,EUR,2014.04.30,0.0686693665,30
ZAR,EUR,2014.05.31,0.0699703732,31
ZAR,EUR,2014.06.30,0.0689538449,30
ZAR,EUR,2014.07.31,0.0692528578,31
ZAR,EUR,2014.08.31,0.0704056641,31
ZAR,EUR,2014.09.30,0.0706759061,30
ZAR,EUR,2014.10.31,0.0711813992,31
ZAR,EUR,2014.11.30,0.0723035995,30
ZAR,EUR,2014.12.31,0.0706464769,31
ZAR,EUR,2015.01.31,0.074342565,31
ZAR,EUR,2015.02.28,0.0760666929,28
ZAR,EUR,2015.03.31,0.0765169399,31
ZAR,EUR,2015.04.30,0.0772059991,30
ZAR,EUR,2015.05.31,0.0748757505,31
ZAR,EUR,2015.06.30,0.0724714059,30
ZAR,EUR,2015.07.31,0.0730787186,31
ZAR,EUR,2015.08.31,0.0696895425,31
ZAR,EUR,2015.09.30,0.0652338818,30
ZAR,EUR,2015.10.31,0.0660120317,31
ZAR,EUR,2015.11.30,0.0658729801,30
ZAR,EUR,2015.12.31,0.0612130797,31
ZAR,EUR,2016.01.31,0.0565730479,31
ZAR,EUR,2016.02.29,0.0570102388,29
ZAR,EUR,2016.03.31,0.0584174224,31
ZAR,EUR,2016.04.30,0.0603453973,30
ZAR,EUR,2016.05.31,0.0579233831,31
ZAR,EUR,2016.06.30,0.0589056308,30
ZAR,EUR,2016.07.31,0.0627003738,31
ZAR,EUR,2016.08.31,0.0649285557,31
ZAR,EUR,2016.09.30,0.0632720572,30
ZAR,EUR,2016.10.31,0.0650023903,31
ZAR,EUR,2016.11.30,0.0663366912,30
ZAR,EUR,2016.12.31,0.0684009877,31
ZAR,EUR,2017.01.31,0.0692836465,31
ZAR,EUR,2017.02.28,0.0712140853,28
ZAR,EUR,2017.03.31,0.0722523526,31
ZAR,EUR,2017.04.30,0.069530921,30
ZAR,EUR,2017.05.31,0.0682275795,31
ZAR,EUR,2017.06.30,0.0690939555,30
ZAR,EUR,2017.07.31,0.066144693,31
ZAR,EUR,2017.08.31,0.0638780803,31
ZAR,EUR,2017.09.30,0.0638589847,30
ZAR,EUR,2017.10.31,0.062174837,31
ZAR,EUR,2017.11.30,0.0603996213,30
ZAR,EUR,2017.12.31,0.0644277103,31
ZAR,EUR,2018.01.31,0.0672291322,31
ZAR,EUR,2018.02.28,0.0684649917,28
ZAR,EUR,2018.03.31,0.0684815424,31
ZAR,EUR,2018.04.30,0.0674035027,30
ZAR,EUR,2018.05.31,0.0674914302,31
ZAR,EUR,2018.06.30,0.0646054279,30
ZAR,EUR,2018.07.31,0.0638158775,31
ZAR,EUR,2018.08.31,0.0616817541,31
ZAR,EUR,2018.09.30,0.0581872366,30
ZAR,EUR,2018.10.31,0.0598738334,31
ZAR,EUR,2018.11.30,0.0623266792,30
ZAR,EUR,2018.12.31,0.0616173458,31
ZAR,EUR,2019.01.31,0.0631457621,31
ZAR,EUR,2019.02.28,0.0639379366,28
ZAR,EUR,2019.03.31,0.0615157617,31
ZAR,EUR,2019.04.30,0.0629325305,30
ZAR,EUR,2019.05.31,0.0620454167,31
ZAR,EUR,2019.06.30,0.0607321328,30
ZAR,EUR,2019.07.31,0.0633817477,31
ZAR,EUR,2019.08.31,0.0592929412,31
ZAR,EUR,2019.09.30,0.0610342547,30
ZAR,EUR,2019.10.31,0.0607651861,31
ZAR,EUR,2019.11.30,0.061062533,30
ZAR,EUR,2019.12.31,0.0624959232,31
ZAR,EUR,2020.01.31,0.0626392957,31
ZAR,EUR,2020.02.29,0.0609483545,29
ZAR,EUR,2020.03.31,0.054424586,31
ZAR,EUR,2020.04.30,0.0495007983,30
ZAR,EUR,2020.05.31,0.0503796989,31
ZAR,EUR,2020.06.30,0.0519023598,30
ZAR,EUR,2020.07.31,0.0521115641,31
ZAR,EUR,2020.08.31,0.0491183768,31
ZAR,EUR,2020.09.30,0.0506931158,30
ZAR,EUR,2020.10.31,0.0516367109,31
ZAR,EUR,2020.11.30,0.054346054,30
ZAR,EUR,2020.12.31,0.0552043314,31
ZAR,EUR,2021.01.31,0.0544105579,31
ZAR,EUR,2021.02.28,0.0559511824,28
ZAR,EUR,2021.03.31,0.0560167888,31
ZAR,EUR,2021.04.30,0.0579711065,30
ZAR,EUR,2021.05.31,0.058510574,31
ZAR,EUR,2021.06.30,0.0597082439,30
ZAR,EUR,2021.07.31,0.0583436759,31
ZAR,EUR,2021.08.31,0.0574222318,31
ZAR,EUR,2021.09.30,0.0583259844,30
ZAR,EUR,2021.10.31,0.0579949371,31
ZAR,EUR,2021.11.30,0.0564194591,30
ZAR,EUR,2021.12.31,0.0557338227,31
ZAR,EUR,2022.01.31,0.0569142285,31
ZAR,EUR,2022.02.28,0.0578828311,28
ZAR,EUR,2022.03.31,0.0606279485,31
ZAR,EUR,2022.04.30,0.0616584956,30
ZAR,EUR,2022.05.31,0.0595287849,31
ZAR,EUR,2022.06.30,0.0598564096,30
ZAR,EUR,2022.07.31,0.0583384273,31
ZAR,EUR,2022.08.31,0.0591651308,31
ZAR,EUR,2022.09.30,0.0574748764,30
ZAR,EUR,2022.10.31,0.0561479682,31
ZAR,EUR,2022.11.30,0.0560581707,30
ZAR,EUR,2022.12.31,0.0546418499,31
GBP,EUR,2010.01.31,1.1317682083,31
GBP,EUR,2010.02.28,1.1419595909,28
GBP,EUR,2010.03.31,1.1090905039,31
GBP,EUR,2010.04.30,1.1402819922,30
GBP,EUR,2010.05.31,1.1659808474,31
GBP,EUR,2010.06.30,1.206708842,30
GBP,EUR,2010.07.31,1.196441306,31
GBP,EUR,2010.08.31,1.2137781036,31
GBP,EUR,2010.09.30,1.1931679609,30
GBP,EUR,2010.10.31,1.1415665866,31
GBP,EUR,2010.11.30,1.168002693,30
GBP,EUR,2010.12.31,1.1811528321,31
GBP,EUR,2011.01.31,1.1805194017,31
GBP,EUR,2011.02.28,1.180964038,28
GBP,EUR,2011.03.31,1.1538994478,31
GBP,EUR,2011.04.30,1.1321496828,30
GBP,EUR,2011.05.31,1.1415274558,31
GBP,EUR,2011.06.30,1.1276570175,30
GBP,EUR,2011.07.31,1.1284607228,31
GBP,EUR,2011.08.31,1.1413903466,31
GBP,EUR,2011.09.30,1.1468565774,30
GBP,EUR,2011.10.31,1.1499910393,31
GBP,EUR,2011.11.30,1.1656824066,30
GBP,EUR,2011.12.31,1.1836894256,31
GBP,EUR,2012.01.31,1.2025615567,31
GBP,EUR,2012.02.29,1.1946695801,29
GBP,EUR,2012.03.31,1.1977463798,31
GBP,EUR,2012.04.30,1.215361651,30
GBP,EUR,2012.05.31,1.2431788691,31
GBP,EUR,2012.06.30,1.2394428108,30
GBP,EUR,2012.07.31,1.2683596317,31
GBP,EUR,2012.08.31,1.2678392242,31
GBP,EUR,2012.09.30,1.2518392922,30
GBP,EUR,2012.10.31,1.239422907,31
GBP,EUR,2012.11.30,1.244461053,30
GBP,EUR,2012.12.31,1.2301445955,31
GBP,EUR,2013.01.31,1.2029493156,31
GBP,EUR,2013.02.28,1.1598324285,28
GBP,EUR,2013.03.31,1.1636500131,31
GBP,EUR,2013.04.30,1.1758026576,30
GBP,EUR,2013.05.31,1.1789726233,31
GBP,EUR,2013.06.30,1.1738392182,30
GBP,EUR,2013.07.31,1.1603274365,31
GBP,EUR,2013.08.31,1.1629658439,31
GBP,EUR,2013.09.30,1.1872392813,30
GBP,EUR,2013.10.31,1.1798849574,31
GBP,EUR,2013.11.30,1.1930081772,30
GBP,EUR,2013.12.31,1.195052407,31
GBP,EUR,2014.01.31,1.2084879258,31
GBP,EUR,2014.02.28,1.2128529745,28
GBP,EUR,2014.03.31,1.202807269,31
GBP,EUR,2014.04.30,1.2121131952,30
GBP,EUR,2014.05.31,1.2259719063,31
GBP,EUR,2014.06.30,1.2433921913,30
GBP,EUR,2014.07.31,1.2610950917,31
GBP,EUR,2014.08.31,1.2539631509,31
GBP,EUR,2014.09.30,1.2641737604,30
GBP,EUR,2014.10.31,1.2685230831,31
GBP,EUR,2014.11.30,1.2651875024,30
GBP,EUR,2014.12.31,1.269303525,31
GBP,EUR,2015.01.31,1.3033619178,31
GBP,EUR,2015.02.28,1.3498989678,28
GBP,EUR,2015.03.31,1.3833221049,31
GBP,EUR,2015.04.30,1.3830257251,30
GBP,EUR,2015.05.31,1.383767856,31
GBP,EUR,2015.06.30,1.388673537,30
GBP,EUR,2015.07.31,1.4140297909,31
GBP,EUR,2015.08.31,1.400502917,31
GBP,EUR,2015.09.30,1.3650442352,30
GBP,EUR,2015.10.31,1.3656737265,31
GBP,EUR,2015.11.30,1.4150521921,30
GBP,EUR,2015.12.31,1.3771600219,31
GBP,EUR,2016.01.31,1.3274894994,31
GBP,EUR,2016.02.29,1.289606251,29
GBP,EUR,2016.03.31,1.2808028501,31
GBP,EUR,2016.04.30,1.2608377521,30
GBP,EUR,2016.05.31,1.2845734163,31
GBP,EUR,2016.06.30,1.2662938622,30
GBP,EUR,2016.07.31,1.1896535091,31
GBP,EUR,2016.08.31,1.1689090443,31
GBP,EUR,2016.09.30,1.1741827605,30
GBP,EUR,2016.10.31,1.1206516673,31
GBP,EUR,2016.11.30,1.152472349,30
GBP,EUR,2016.12.31,1.1846252858,31
GBP,EUR,2017.01.31,1.1616275134,31
GBP,EUR,2017.02.28,1.1723634791,28
GBP,EUR,2017.03.31,1.153748799,31
GBP,EUR,2017.04.30,1.1794320275,30
GBP,EUR,2017.05.31,1.1695132954,31
GBP,EUR,2017.06.30,1.1396989314,30
GBP,EUR,2017.07.31,1.1286348677,31
GBP,EUR,2017.08.31,1.097094582,31
GBP,EUR,2017.09.30,1.1162834589,30
GBP,EUR,2017.10.31,1.12302889,31
GBP,EUR,2017.11.30,1.1259739347,30
GBP,EUR,2017.12.31,1.1323522971,31
GBP,EUR,2018.01.31,1.1319577453,31
GBP,EUR,2018.02.28,1.1318925195,28
GBP,EUR,2018.03.31,1.1323025698,31
GBP,EUR,2018.04.30,1.1453272176,30
GBP,EUR,2018.05.31,1.1391121236,31
GBP,EUR,2018.06.30,1.1386715029,30
GBP,EUR,2018.07.31,1.1270477114,31
GBP,EUR,2018.08.31,1.1153431598,31
GBP,EUR,2018.09.30,1.1188864592,30
GBP,EUR,2018.10.31,1.132576694,31
GBP,EUR,2018.11.30,1.1349423439,30
GBP,EUR,2018.12.31,1.114198755,31
GBP,EUR,2019.01.31,1.1289317335,31
GBP,EUR,2019.02.28,1.1452781709,28
GBP,EUR,2019.03.31,1.1656207017,31
GBP,EUR,2019.04.30,1.158976174,30
GBP,EUR,2019.05.31,1.149861567,31
GBP,EUR,2019.06.30,1.1221723082,30
GBP,EUR,2019.07.31,1.1126178555,31
GBP,EUR,2019.08.31,1.0912506817,31
GBP,EUR,2019.09.30,1.1208035236,30
GBP,EUR,2019.10.31,1.1437697301,31
GBP,EUR,2019.11.30,1.1649856878,30
GBP,EUR,2019.12.31,1.179706202,31
GBP,EUR,2020.01.31,1.1773088148,31
GBP,EUR,2020.02.29,1.1888805608,29
GBP,EUR,2020.03.31,1.1190609306,31
GBP,EUR,2020.04.30,1.1414058649,30
GBP,EUR,2020.05.31,1.1266537834,31
GBP,EUR,2020.06.30,1.1122673998,30
GBP,EUR,2020.07.31,1.1052580088,31
GBP,EUR,2020.08.31,1.1103570245,31
GBP,EUR,2020.09.30,1.0993335816,30
GBP,EUR,2020.10.31,1.1026296291,31
GBP,EUR,2020.11.30,1.1154139491,30
GBP,EUR,2020.12.31,1.1038884066,31
GBP,EUR,2021.01.31,1.1206048333,31
GBP,EUR,2021.02.28,1.1462018195,28
GBP,EUR,2021.03.31,1.1639641381,31
GBP,EUR,2021.04.30,1.1576243154,30
GBP,EUR,2021.05.31,1.1584462032,31
GBP,EUR,2021.06.30,1.1641501986,30
GBP,EUR,2021.07.31,1.1680200951,31
GBP,EUR,2021.08.31,1.1722459398,31
GBP,EUR,2021.09.30,1.1674114549,30
GBP,EUR,2021.10.31,1.1792897135,31
GBP,EUR,2021.11.30,1.1790975259,30
GBP,EUR,2021.12.31,1.1766488715,31
GBP,EUR,2022.01.31,1.1970288871,31
GBP,EUR,2022.02.28,1.1932876648,28
GBP,EUR,2022.03.31,1.1965003907,31
GBP,EUR,2022.04.30,1.1964614966,30
GBP,EUR,2022.05.31,1.1778970198,31
GBP,EUR,2022.06.30,1.166080048,30
GBP,EUR,2022.07.31,1.1770542206,31
GBP,EUR,2022.08.31,1.1833688811,31
GBP,EUR,2022.09.30,1.1435595134,30
GBP,EUR,2022.10.31,1.1477309425,31
GBP,EUR,2022.11.30,1.1500421991,30
GBP,EUR,2022.12.31,1.1499566407,31
INR,EUR,2010.01.31,0.0152378437,31
INR,EUR,2010.02.28,0.0157997425,28
INR,EUR,2010.03.31,0.0161956717,31
INR,EUR,2010.04.30,0.0167294112,30
INR,EUR,2010.05.31,0.0173702459,31
INR,EUR,2010.06.30,0.0176174064,30
INR,EUR,2010.07.31,0.0167578473,31
INR,EUR,2010.08.31,0.0166677416,31
INR,EUR,2010.09.30,0.0166817803,30
INR,EUR,2010.10.31,0.0162349086,31
INR,EUR,2010.11.30,0.0162930797,30
INR,EUR,2010.12.31,0.0167817983,31
INR,EUR,2011.01.31,0.0165102302,31
INR,EUR,2011.02.28,0.0161439296,28
INR,EUR,2011.03.31,0.0158874287,31
INR,EUR,2011.04.30,0.0156255275,30
INR,EUR,2011.05.31,0.0155618641,31
INR,EUR,2011.06.30,0.0154915738,30
INR,EUR,2011.07.31,0.0157228174,31
INR,EUR,2011.08.31,0.0153952259,31
INR,EUR,2011.09.30,0.0153074245,30
INR,EUR,2011.10.31,0.0148411508,31
INR,EUR,2011.11.30,0.0145719713,30
INR,EUR,2011.12.31,0.0144869785,31
INR,EUR,2012.01.31,0.0151235223,31
INR,EUR,2012.02.29,0.0153734342,29
INR,EUR,2012.03.31,0.0150577384,31
INR,EUR,2012.04.30,0.0147042999,30
INR,EUR,2012.05.31,0.0143848042,31
INR,EUR,2012.06.30,0.0142445881,30
INR,EUR,2012.07.31,0.0146781412,31
INR,EUR,2012.08.31,0.0145308362,31
INR,EUR,2012.09.30,0.0142701884,30
INR,EUR,2012.10.31,0.0145420703,31
INR,EUR,2012.11.30,0.0142244969,30
INR,EUR,2012.12.31,0.0139647091,31
INR,EUR,2013.01.31,0.0138544778,31
INR,EUR,2013.02.28,0.0139044759,28
INR,EUR,2013.03.31,0.0141752614,31
INR,EUR,2013.04.30,0.0141272327,30
INR,EUR,2013.05.31,0.0140416151,31
INR,EUR,2013.06.30,0.0130559957,30
INR,EUR,2013.07.31,0.0128001571,31
INR,EUR,2013.08.31,0.0120087779,31
INR,EUR,2013.09.30,0.0117210077,30
INR,EUR,2013.10.31,0.011920617,31
INR,EUR,2013.11.30,0.0118324272,30
INR,EUR,2013.12.31,0.0118038973,31
INR,EUR,2014.01.31,0.0118274331,31
INR,EUR,2014.02.28,0.0117889142,28
INR,EUR,2014.03.31,0.0118510332,31
INR,EUR,2014.04.30,0.012004163,30
INR,EUR,2014.05.31,0.0122768978,31
INR,EUR,2014.06.30,0.0123215207,30
INR,EUR,2014.07.31,0.0122916377,31
INR,EUR,2014.08.31,0.0123390592,31
INR,EUR,2014.09.30,0.0127415561,30
INR,EUR,2014.10.31,0.0128621499,31
INR,EUR,2014.11.30,0.0129999535,30
INR,EUR,2014.12.31,0.0129318042,31
INR,EUR,2015.01.31,0.0138273115,31
INR,EUR,2015.02.28,0.0142060181,28
INR,EUR,2015.03.31,0.0147769766,31
INR,EUR,2015.04.30,0.0147926799,30
INR,EUR,2015.05.31,0.0140614039,31
INR,EUR,2015.06.30,0.0139742084,30
INR,EUR,2015.07.31,0.0142867667,31
INR,EUR,2015.08.31,0.0138240617,31
INR,EUR,2015.09.30,0.0134314572,30
INR,EUR,2015.10.31,0.013703124,31
INR,EUR,2015.11.30,0.0140858066,30
INR,EUR,2015.12.31,0.0137967773,31
INR,EUR,2016.01.31,0.0136834374,31
INR,EUR,2016.02.29,0.013191794,29
INR,EUR,2016.03.31,0.0134295637,31
INR,EUR,2016.04.30,0.0132707699,30
INR,EUR,2016.05.31,0.0132211011,31
INR,EUR,2016.06.30,0.0132293163,30
INR,EUR,2016.07.31,0.0134599835,31
INR,EUR,2016.08.31,0.013338475,31
INR,EUR,2016.09.30,0.0133693368,30
INR,EUR,2016.10.31,0.0135754048,31
INR,EUR,2016.11.30,0.0136902292,30
INR,EUR,2016.12.31,0.0139910725,31
INR,EUR,2017.01.31,0.0138259193,31
INR,EUR,2017.02.28,0.0140166193,28
INR,EUR,2017.03.31,0.014184899,31
INR,EUR,2017.04.30,0.0144667101,30
INR,EUR,2017.05.31,0.0140477961,31
INR,EUR,2017.06.30,0.0138247616,30
INR,EUR,2017.07.31,0.0134658957,31
INR,EUR,2017.08.31,0.0132227449,31
INR,EUR,2017.09.30,0.0130355728,30
INR,EUR,2017.10.31,0.0130681568,31
INR,EUR,2017.11.30,0.0131383198,30
INR,EUR,2017.12.31,0.0131484377,31
INR,EUR,2018.01.31,0.012892758,31
INR,EUR,2018.02.28,0.0125674848,28
INR,EUR,2018.03.31,0.0124676718,31
INR,EUR,2018.04.30,0.0124036916,30
INR,EUR,2018.05.31,0.0125211383,31
INR,EUR,2018.06.30,0.0126389432,30
INR,EUR,2018.07.31,0.0124518878,31
INR,EUR,2018.08.31,0.0124746801,31
INR,EUR,2018.09.30,0.0119060181,30
INR,EUR,2018.10.31,0.0118192961,31
INR,EUR,2018.11.30,0.0122272176,30
INR,EUR,2018.12.31,0.0124259378,31
INR,EUR,2019.01.31,0.0123983464,31
INR,EUR,2019.02.28,0.012366845,28
INR,EUR,2019.03.31,0.0127007867,31
INR,EUR,2019.04.30,0.0128210443,30
INR,EUR,2019.05.31,0.0128024561,31
INR,EUR,2019.06.30,0.0127420533,30
INR,EUR,2019.07.31,0.012955742,31
INR,EUR,2019.08.31,0.0126313796,31
INR,EUR,2019.09.30,0.0127145584,30
INR,EUR,2019.10.31,0.0127392136,31
INR,EUR,2019.11.30,0.0126537596,30
INR,EUR,2019.12.31,0.012645882,31
INR,EUR,2020.01.31,0.0126279964,31
INR,EUR,2020.02.29,0.0127930301,29
INR,EUR,2020.03.31,0.0121214645,31
INR,EUR,2020.04.30,0.0120472238,30
INR,EUR,2020.05.31,0.0120909755,31
INR,EUR,2020.06.30,0.0117247788,30
INR,EUR,2020.07.31,0.0116601493,31
INR,EUR,2020.08.31,0.0113270174,31
INR,EUR,2020.09.30,0.0115260433,30
INR,EUR,2020.10.31,0.0115506582,31
INR,EUR,2020.11.30,0.0113754477,30
INR,EUR,2020.12.31,0.0111496493,31
INR,EUR,2021.01.31,0.0112350857,31
INR,EUR,2021.02.28,0.0113554837,28
INR,EUR,2021.03.31,0.0115333693,31
INR,EUR,2021.04.30,0.011240372,30
INR,EUR,2021.05.31,0.0112458063,31
INR,EUR,2021.06.30,0.0112863899,30
INR,EUR,2021.07.31,0.0113454867,31
INR,EUR,2021.08.31,0.0114541706,31
INR,EUR,2021.09.30,0.0115428703,30
INR,EUR,2021.10.31,0.0115100154,31
INR,EUR,2021.11.30,0.0117673582,30
INR,EUR,2021.12.31,0.0117285638,31
INR,EUR,2022.01.31,0.0118597631,31
INR,EUR,2022.02.28,0.0117635457,28
INR,EUR,2022.03.31,0.0119162774,31
INR,EUR,2022.04.30,0.0121187922,30
INR,EUR,2022.05.31,0.0122420077,31
INR,EUR,2022.06.30,0.0121215964,30
INR,EUR,2022.07.31,0.0123251306,31
INR,EUR,2022.08.31,0.0124156486,31
INR,EUR,2022.09.30,0.0125801478,30
INR,EUR,2022.10.31,0.0123609911,31
INR,EUR,2022.11.30,0.0120070683,30
INR,EUR,2022.12.31,0.0114657426,31
DKK,EUR,2010.01.31,0.1343959062,31
DKK,EUR,2010.02.28,0.1343677873,28
DKK,EUR,2010.03.31,0.1343990733,31
DKK,EUR,2010.04.30,0.1343566001,30
DKK,EUR,2010.05.31,0.1343936643,31
DKK,EUR,2010.06.30,0.1344559785,30
DKK,EUR,2010.07.31,0.1341932951,31
DKK,EUR,2010.08.31,0.1342499532,31
DKK,EUR,2010.09.30,0.1342905295,30
DKK,EUR,2010.10.31,0.1340724611,31
DKK,EUR,2010.11.30,0.1341551823,30
DKK,EUR,2010.12.31,0.134164387,31
DKK,EUR,2011.01.31,0.1341946444,31
DKK,EUR,2011.02.28,0.134124297,28
DKK,EUR,2011.03.31,0.1341012163,31
DKK,EUR,2011.04.30,0.1340714945,30
DKK,EUR,2011.05.31,0.1341386784,31
DKK,EUR,2011.06.30,0.1341138457,30
DKK,EUR,2011.07.31,0.1340970549,31
DKK,EUR,2011.08.31,0.1342396072,31
DKK,EUR,2011.09.30,0.134301488,30
DKK,EUR,2011.10.31,0.1343464794,31
DKK,EUR,2011.11.30,0.1343880209,30
DKK,EUR,2011.12.31,0.1345182,31
DKK,EUR,2012.01.31,0.1345022244,31
DKK,EUR,2012.02.29,0.1345165471,29
DKK,EUR,2012.03.31,0.1344866372,31
DKK,EUR,2012.04.30,0.1344115679,30
DKK,EUR,2012.05.31,0.1345210253,31
DKK,EUR,2012.06.30,0.1345319348,30
DKK,EUR,2012.07.31,0.1344359665,31
DKK,EUR,2012.08.31,0.1343068601,31
DKK,EUR,2012.09.30,0.1341586623,30
DKK,EUR,2012.10.31,0.1340866271,31
DKK,EUR,2012.11.30,0.1340703978,30
DKK,EUR,2012.12.31,0.1340368993,31
DKK,EUR,2013.01.31,0.1340236308,31
DKK,EUR,2013.02.28,0.1340520826,28
DKK,EUR,2013.03.31,0.1341338408,31
DKK,EUR,2013.04.30,0.1341794602,30
DKK,EUR,2013.05.31,0.1341637545,31
DKK,EUR,2013.06.30,0.1340960729,30
DKK,EUR,2013.07.31,0.1340853898,31
DKK,EUR,2013.08.31,0.1340901469,31
DKK,EUR,2013.09.30,0.1340784076,30
DKK,EUR,2013.10.31,0.1340657582,31
DKK,EUR,2013.11.30,0.1340621833,30
DKK,EUR,2013.12.31,0.1340411061,31
DKK,EUR,2014.01.31,0.1340249134,31
DKK,EUR,2014.02.28,0.1340126796,28
DKK,EUR,2014.03.31,0.1339801834,31
DKK,EUR,2014.04.30,0.1339453985,30
DKK,EUR,2014.05.31,0.1339748383,31
DKK,EUR,2014.06.30,0.1340678326,30
DKK,EUR,2014.07.31,0.1341142886,31
DKK,EUR,2014.08.31,0.1341391868,31
DKK,EUR,2014.09.30,0.1343236195,30
DKK,EUR,2014.10.31,0.1343216984,31
DKK,EUR,2014.11.30,0.1343842396,30
DKK,EUR,2014.12.31,0.1344023271,31
DKK,EUR,2015.01.31,0.1344014646,31
DKK,EUR,2015.02.28,0.1342583253,28
DKK,EUR,2015.03.31,0.1340912884,31
DKK,EUR,2015.04.30,0.1339339482,30
DKK,EUR,2015.05.31,0.1340212002,31
DKK,EUR,2015.06.30,0.1340423642,30
DKK,EUR,2015.07.31,0.1340176106,31
DKK,EUR,2015.08.31,0.1340001394,31
DKK,EUR,2015.09.30,0.1340272223,30
DKK,EUR,2015.10.31,0.1340360502,31
DKK,EUR,2015.11.30,0.1340327548,30
DKK,EUR,2015.12.31,0.1338437279,31
DKK,EUR,2016.01.31,0.1340073081,31
DKK,EUR,2016.02.29,0.1339967026,29
DKK,EUR,2016.03.31,0.1341003132,31
DKK,EUR,2016.04.30,0.1343594923,30
DKK,EUR,2016.05.31,0.1344358855,31
DKK,EUR,2016.06.30,0.1344449546,30
DKK,EUR,2016.07.31,0.1344070032,31
DKK,EUR,2016.08.31,0.1344069748,31
DKK,EUR,2016.09.30,0.1342761713,30
DKK,EUR,2016.10.31,0.1343977342,31
DKK,EUR,2016.11.30,0.1343904512,30
DKK,EUR,2016.12.31,0.1344756324,31
DKK,EUR,2017.01.31,0.1344854182,31
DKK,EUR,2017.02.28,0.1344841754,28
DKK,EUR,2017.03.31,0.1344815539,31
DKK,EUR,2017.04.30,0.1344692674,30
DKK,EUR,2017.05.31,0.1345224289,31
DKK,EUR,2017.06.30,0.134510704,30
DKK,EUR,2017.07.31,0.1343529444,31
DKK,EUR,2017.08.31,0.1342231707,31
DKK,EUR,2017.09.30,0.1343896903,30
DKK,EUR,2017.10.31,0.1342295063,31
DKK,EUR,2017.11.30,0.1343580628,30
DKK,EUR,2017.12.31,0.134336517,31
DKK,EUR,2018.01.31,0.1343079205,31
DKK,EUR,2018.02.28,0.1342916109,28
