from,to,end_of_month,average_rate,number_of_days
EUR,EUR,2021.01.31,1.0,31
EUR,EUR,2021.02.28,1.0,28
EUR,EUR,2021.03.31,1.0,31
EUR,EUR,2021.04.30,1.0,30
EUR,EUR,2021.05.31,1.0,31
EUR,EUR,2021.06.30,1.0,30
EUR,EUR,2021.07.31,1.0,31
EUR,EUR,2021.08.31,1.0,31
EUR,EUR,2021.09.30,1.0,30
EUR,EUR,2021.10.31,1.0,31
EUR,EUR,2021.11.30,1.0,30
EUR,EUR,2021.12.31,1.0,31
EUR,EUR,2022.01.31,1.0,31
EUR,EUR,2022.02.28,1.0,28
EUR,EUR,2022.03.31,1.0,31
EUR,EUR,2022.04.30,1.0,30
EUR,EUR,2022.05.31,1.0,31
EUR,EUR,2022.06.30,1.0,30
EUR,EUR,2022.07.31,1.0,31
EUR,EUR,2022.08.31,1.0,31
EUR,EUR,2022.09.30,1.0,30
EUR,EUR,2022.10.31,1.0,31
EUR,EUR,2022.11.30,1.0,30
EUR,EUR,2022.12.31,1.0,31
NOK,EUR,2010.01.31,0.121968796,31
NOK,EUR,2010.02.28,0.1235058209,28
NOK,EUR,2010.03.31,0.1244308622,31
NOK,EUR,2010.04.30,0.1258403122,30
NOK,EUR,2010.05.31,0.1265666887,31
NOK,EUR,2010.06.30,0.1264152485,30
NOK,EUR,2010.07.31,0.124566687,31
NOK,EUR,2010.08.31,0.126160784,31
NOK,EUR,2010.09.30,0.1264470274,30
NOK,EUR,2010.10.31,0.1234399521,31
NOK,EUR,2010.11.30,0.1228419131,30
NOK,EUR,2010.12.31,0.1264041461,31
NOK,EUR,2011.01.31,0.1277887611,31
NOK,EUR,2011.02.28,0.1277527542,28
NOK,EUR,2011.03.31,0.1276781882,31
NOK,EUR,2011.04.30,0.1280806573,30
NOK,EUR,2011.05.31,0.1275247652,31
NOK,EUR,2011.06.30,0.1276971678,30
NOK,EUR,2011.07.31,0.1284601281,31
NOK,EUR,2011.08.31,0.1280986733,31
NOK,EUR,2011.09.30,0.129596846,30
NOK,EUR,2011.10.31,0.1290032621,31
NOK,EUR,2011.11.30,0.1284694376,30
NOK,EUR,2011.12.31,0.1290257306,31
NOK,EUR,2012.01.31,0.1302381981,31
NOK,EUR,2012.02.29,0.1322104747,29
NOK,EUR,2012.03.31,0.1328321781,31
NOK,EUR,2012.04.30,0.1320195083,30
NOK,EUR,2012.05.31,0.1320333498,31
NOK,EUR,2012.06.30,0.1325230181,30
NOK,EUR,2012.07.31,0.1340789968,31
NOK,EUR,2012.08.31,0.1365198425,31
NOK,EUR,2012.09.30,0.1353246493,30
NOK,EUR,2012.10.31,0.1349933694,31
NOK,EUR,2012.11.30,0.1362081576,30
NOK,EUR,2012.12.31,0.1357381863,31
NOK,EUR,2013.01.31,0.1353852228,31
NOK,EUR,2013.02.28,0.1346678476,28
NOK,EUR,2013.03.31,0.1335337982,31
NOK,EUR,2013.04.30,0.1326343786,30
NOK,EUR,2013.05.31,0.1323485545,31
NOK,EUR,2013.06.30,0.129246674,30
NOK,EUR,2013.07.31,0.1266691796,31
NOK,EUR,2013.08.31,0.1260911471,31
